Anisomyon patelliformis
Protocardia rara
Scaphites warreni
Neithea occidentalis
Neithea texana
Veniella subtumida
Acanthoceras coloradoensis
Metoicoceras swallowi
Helicoceras corrugatum
Inoceramus simpsoni
Pholadomya subventricosa
Pteria nebrascana
Cylichna scitula
Scaphites vermiformis
Prionotropis hyatti
Gryphaea marcoui
Ptychoceras mortoni
Ancyloceras jenneyi
Fasciolaria culbertsoni
Ancyloceras
Ostrea patina
Capulus spangleri
Crinoidea
Tancredia americana
Sphaeriola cordata
Sphaeriola
Anchura
Thetis circularis
Helicoceras mortoni
Crassatella evansi
Heteroceras
Eutrephoceras montanensis
Nucula cancellata
Legumen subelliptica
Pachymya herseyi
Dentalium gracile
Fusus cheyennensis
Fasciolaria cheyennensis
Lucina
Anomia micronema
Corbicula umbonella
Veniella lineata
Goniomya americana
Scaphites nicolleti
Panopea berthoudi
Inoceramus dimidius
Campeloma acroterion
Corbicula obesa
Corbula subtrigonalis
Annelida
Teredo
Anchura americana
Trigonacallista deweyi
Membranipora
Pteria fibrosa
Anatina doddsi
Goniobasis tenuicarinata
Campeloma multilineata
Physa
Viviparus prudentius
Goniobasis gracilenta
Bulinus disjunctus
Corbicula cleburni
Tulotoma thompsoni
Mollusca
Inoceramus proximus
Pachymya aurandi
Thracia gracilis
Volutoderma clatworthyi
Serpula markmani
Heteroceras tortum
Ancyloceras tricostatus
Nuculana subequilateralis
Helicoceras
Neaera ventricosa
Inoceramus cripsi
Placenticeras intercalare
Mytilus subarcuatus
Syncyclonema rigida
Leptosolen
Legumen
Liopistha undata
Cylichna
Lunatia
Cylichna volvaria
Lunatia obliquata
Ostrea subtrigonalis
Olivella
Corbicula occidentalis
Corbicula cytheriformis
Veloritina occidentalis
Modiola regularis
Turritella
Corbicula fracta
Mactra aita
Cnidaria
Palaeura pentangulatus
Yoldia scitula
Callista pellucida
Corbicula cardinaeformis
Corbicula augheyi
Corbicula planumbona
Corbicula
Corbicula macropistha
Corbicula berthoudi
Viviparus thompsoni
Lioplacodes plicapressus
Fasciolaria
Mactra alta
Nucula planimarginata
Sphenodiscus lenticularis
Cinulia concinna
Hemiaster humphreysanus
Mactra gracilis
Tellina equilateralis
Haminea subcylindrica
Vanikoro ambigua
Gyrodes crenata
Gyrodes abyssina
Scaphites conradi
Crenella elegantula
Pleurotomaria contortus
Haydenia stantoni
Vascoceras
Pteria salinensis
Inoceramus comancheanus
Gryphaea vesicularis
Gryphaea corrugata
Gryphaea
Balanus
Goniobasis
Ostrea larimerensis
Callista owenana
Turbo
Uintacrinus socialis
Ostrea noctuensis
Inoceramus fragilis
Baculites gracilis
Terebratula sella
Terebratula fittoni
Gervillia sublanceolata
Cucullaea donningtonensis
Trigonia nodosa
Hoplites deshayesi
Meyeria magna
Natica gaultina
Hoplites splendens
Hoplites lautus
Trochocyathus angulatus
Rhynchonella sulcata
Schloenbachia rostrata
Protocardia hillanum
Turritella granulata
Murex calcer
Chrysallida cerithiformis
Pteria haydeni
Turrilites
Fusus
Pyropsis bairdi
Gryphaea newberryi
Mactra canonensis
Yoldia evansi
Mactra holmesi
Exogyra texana
Exogyra ponderosa
Gryphaea mutabilis
Choristothyris plicata
Terebratula tornasensis
Rhynchonella latissima
Trigonia constanti
Syringopora
Petropteron mirandum
Anomia subquadrata
Siliqua
Corbula undifera
Prionotropis woolgari
Prionotropis laevianus
Xenophora simpsoni
Ostrea lugubris
Ostrea malachitensis
Fasciolaria utahensis
Solenomya obscura
Tapes cyprimeriformis
Tritonidea huerfanensis
Tellina modesta
Cardium pauperculum
Mactra emmonsi
Volutoderma gracilis
Pyropsis coloradoensis
Haminea truncata
Amauropsis bulbiformis
Trigonarca obliqua
Gyrodes depressa
Volutoderma dalli
Gyrodes conradi
Exogyra suborbiculata
Turritella whitei
Volutoderma ambigua
Liopistha concentrica
Gervillia perpllexa
Pinna petrina
Pteria gastrodes
Pyktes fusiformis
Tellina isonema
Cassidulus stantoni
Nucula obsoletistriata
Leda
Scaphites nodosus quadrangularis
Mactra homseii
Scaphites ventricosus
Mytilus
Planorbis
Corbicula subtrigonalis
Actaeon prosocheila
Inoceramus barabini barabini
Pholadomya papyracea
Acanthoceras mantelli
Bryozoa
Brachiopoda
Buccinopsis parryi
Homomya solida
Porifera
Arctica roemeri
Protocardia texana
Chione decepta
Limopsis striatopunctata
Limopsis parvula
Lunatia pedernalis
Neithea puinquecostatus
Caprina occidentalis
Holectypus planatus
Veniella stoliczka
Rostellaria texana
Inoceramus crenistriatus
Echinoidea
Cardium major
Micrabacia americana
Protocardia subquadrata
Yoldia
Foraminifera
Crassatella vadosa
Unio vetustus
Unio belliplicatus
Corbula engelmanni
Pyrgulifera humerosa
Corbulomya tauschi
Campeloma macrospira
Viviparus conesi
Neogastropoda
Veloritina durkeei
Corbicula pyriformis
Corbula pyriformis
Modiola pealei
Viviparus couesi
Campeloma
Ostrea soleniscus
Ostrea coalvillensis
Unio letsoni
Unio pyramidatoides
Unio cyclindricoides
Unio biesapoides
Unio corbiculoides
Unio browni
Unio danae
Unio percorrugata
Unio aesopiformis
Unio subtrigonalis
Unio postbiplicata
Unio retusoides
Unio gibbosoides
Unio verrucosiformis
Unio pyramidellus
Sphaerium planum
Corbicula subelliptica
Thaumastus limnaeformis
Campeloma producta
Campeloma vetula
Margaritella flexistriata
Inoceramus umbonatus
Pecten nebrascensis
Terebratula ovata
Terebratula rigida
Pholadomya
Nautilus
Crassatella cimarronensis
Fasciolaria calbertsoni
Anisomyon subovatus
Campeloma nebrascensis
Unio priscus
Ostrea cortex
Homomya jurafacies
Pecten
Modiola
Hemiaster elegans
Holaster simplex
Heteraster texanus
Schloenbachia leonensis
Lima macoensis
Cyprimeria texana
Pecten georgetownensis
Tylostoma tumida
Schloenbachia acutocarinata
Serpula
Hemiaster comanchei
Rostellaria ambigua
Fusus shumardi
Corbula nematophora
Inoceramus flaccidus
Cadulus
Baculites nodosus
Scaphites watteni
Mactra nucula
Ostrea sannionis
Camptonectes platessa
Crassatellites andrewsi
Liopistha meeki
Liopistha
Anomia
Nautilus texanus
Goniophorus scotti
Holectypus limitis
Ostrea quadriplicata
Kingena wacoensis
Kingena
Pachymya austinensis
Plicatula
Turritella worthensis
Cucullaea terminalis
Lima wacoensis
Pinna guadalupae
Homomya
Pholadomya sancti-sabae
Trichotropis shumardi
Gryphaea mucronata
Schloenbachia belknapi
Cucullaea nebrascensis
Anchura nebrascensis
Amauropsis paludinaeformis
Haminea speciosa
Gervillia subtortuosa
Cucullaea shumardi
Arcidae
Haminea nebrascensis
Turrilites brazoensis
Schloenbachia wintoni
Scaphites hilli
Trigonia clavigera
Gryphaea navia
Scaphites nodosus brevis
Callista ventricosa
Inoceramus altus
Ostrea barrandei
Serpulimorpha
Pteria
Viviparus leidyi
Viviparus companiformes
Viviparus retusus
Lymnaea compactilis
Goniobasis nebrascensis
Unio
Unio couesi
Micraster
Euconulus
Rhynchonella
Terebratula
Inoceramus cripsiosa
Pecten quinquicostata
Cardium
Exogyra columbella
Physa copei
Sphaerium subellipticum
Goniobasis sublaevis
Unio senectus
Unio cryptorhynchus
Pteria parkenssis
Isobuthus oblonga
Ostrea glabra wyomingensis
Ostrea glabra insecuris
Ostrea glabra arcuatilis
Unio holmesianus
Unio brachyopisthus
Viviparus plicapressa
Neritina baptista
Neritina volvulineata
Unio conesi
Corbula durkeei
Corbicula durkeei
Lymnaea nitidula
Lioplax endlichi
Liopistha elongata
Sphaerium
Nemodon
Modiola laticostata
Melania insculpta
Geloina securis
Modiola multilinigera
Barbatia micronema
Anatina lineata
Pinna
Rostellaria
Trigonia emoryi
Pteria belviderensis
Cardita belviderensis
Cardium kansasense
Cyprimeria crassa
Gryphaea hilli
Turritella seriatim granulata
Turritella brazoensis
Hamites fremonti
Cerithium bosquense
Rostellaria subfusiformis
Hemiaster whitei
Gryphaea washitaensis
Cerithium tramitensis
Modiola filisculpta
Pecten texanus
Ostrea belliplicata
Exogyra weatherfordensis
Rhynchonella parvirostrum
Terebratula semiglobosa
Rhynchonella cuvieri
Rhynchonella plicatitis
Micraster testudinarum
Ammonites varians
Pecten subalpinus
Prionocyclus
Inoceramus fragilis howelli
Inoceramus fibrosus
Solenidae
Arthropoda
Mortoniceras shoshonensis
Radiolites austinensis
Arctica texana
Limopsis subimbricatus
Cyprimeria gradata
Pecten quadricostata
Ostrea tranklini
Cytherea leveretti
Isocardia medialis
